experiment,session,trial,timestamp,animal_id,strain,sex,researcher,drug,treatment,exit#,metric,value
VASTcont,S01,T04,2026-02-23T14:34:50,1,?,?,Hayden,n/a,RBSF,0,time_in_exit_zone_s,0.035951
VASTcont,S01,T04,2026-02-23T14:34:50,1,?,?,Hayden,n/a,RBSF,0,mean_distance_to_exit_cm,55.554
VASTcont,S01,T04,2026-02-23T14:34:50,1,?,?,Hayden,n/a,RBSF,0,path_efficiency,0.138688
VASTcont,S01,T04,2026-02-23T14:34:50,1,?,?,Hayden,n/a,RBSF,0,time_in_center_s,6.25548
VASTcont,S01,T04,2026-02-23T14:34:50,1,?,?,Hayden,n/a,RBSF,0,n_center_entries,3
VASTcont,S01,T04,2026-02-23T14:34:50,1,?,?,Hayden,n/a,RBSF,0,n_feedback_error_bouts,185
VASTcont,S01,T04,2026-02-23T14:34:50,1,?,?,Hayden,n/a,RBSF,0,feedback_error_duration_s,10.0303
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,trial_duration_s,120.179
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,total_distance_m,7.04983
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,time_still_s,99.4378
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,avg_speed_mps,0.361131
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,n_movement_bout,34
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,time_in_exit_zone_s,0
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,mean_distance_to_exit_cm,46.2795
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,path_efficiency,0.077715
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,time_in_center_s,12.9545
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,n_center_entries,3
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,n_feedback_error_bouts,526
VASTcont,S01,T05,2026-02-23T14:35:36,1,?,?,Hayden,n/a,RBSF,0,feedback_error_duration_s,25.945
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,trial_duration_s,4.90545
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,total_distance_m,0.963685
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,time_still_s,1.53967
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,avg_speed_mps,0.302403
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,n_movement_bout,5
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,latency_to_exit_s,4.79803
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,time_in_exit_zone_s,0.107419
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,mean_distance_to_exit_cm,61.5569
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,path_efficiency,0.69801
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,time_in_center_s,1.21741
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,n_center_entries,1
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,n_feedback_error_bouts,22
VASTcont,S01,T06,2026-02-23T14:37:50,1,?,?,Hayden,n/a,RBSF,3,feedback_error_duration_s,2.00515
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,trial_duration_s,74.2746
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,total_distance_m,6.26182
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,time_still_s,52.9816
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,avg_speed_mps,0.308083
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,n_movement_bout,27
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,latency_to_exit_s,74.2387
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,time_in_exit_zone_s,0.0358468
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,mean_distance_to_exit_cm,73.9483
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,path_efficiency,0.086979
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,time_in_center_s,23.9815
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,n_center_entries,5
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,n_feedback_error_bouts,441
VASTcont,S01,T07,2026-02-23T14:38:09,1,?,?,Hayden,n/a,RBSF,1,feedback_error_duration_s,21.759
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,trial_duration_s,23.0669
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,total_distance_m,1.42651
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,time_still_s,18.0649
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,avg_speed_mps,0.307293
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,n_movement_bout,10
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,latency_to_exit_s,22.9949
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,time_in_exit_zone_s,0.0719716
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,mean_distance_to_exit_cm,51.0308
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,path_efficiency,0.26851
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,time_in_center_s,0.143943
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,n_center_entries,1
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,n_feedback_error_bouts,151
VASTcont,S01,T08,2026-02-23T14:39:36,1,?,?,Hayden,n/a,RBSF,2,feedback_error_duration_s,6.36949
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,trial_duration_s,39.9784
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,total_distance_m,3.89837
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,time_still_s,26.9881
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,avg_speed_mps,0.31131
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,n_movement_bout,13
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,latency_to_exit_s,39.9424
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,time_in_exit_zone_s,0.0359842
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,mean_distance_to_exit_cm,59.2727
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,path_efficiency,0.144483
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,time_in_center_s,13.5301
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,n_center_entries,3
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,n_feedback_error_bouts,247
VASTcont,S01,T09,2026-02-23T14:40:17,1,?,?,Hayden,n/a,RBSF,2,feedback_error_duration_s,12.1627
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,trial_duration_s,5.78975
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,total_distance_m,1.92751
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,time_still_s,1.65421
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,avg_speed_mps,0.474335
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,n_movement_bout,2
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,latency_to_exit_s,5.71783
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,time_in_exit_zone_s,0.0719224
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,mean_distance_to_exit_cm,60.2729
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,path_efficiency,0.40875
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,time_in_center_s,0.431534
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,n_center_entries,1
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,n_feedback_error_bouts,38
VASTcont,S02,T01,2026-02-24T14:13:08,1,?,?,Hayden,n/a,RBSF,3,feedback_error_duration_s,2.44536
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,trial_duration_s,43.4204
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,total_distance_m,4.99574
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,time_still_s,28.6853
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,avg_speed_mps,0.350932
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,n_movement_bout,14
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,latency_to_exit_s,43.3847
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,time_in_exit_zone_s,0.0356782
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,mean_distance_to_exit_cm,72.6472
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,path_efficiency,0.134307
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,time_in_center_s,1.39145
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,n_center_entries,2
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,n_feedback_error_bouts,270
VASTcont,S02,T02,2026-02-24T14:13:27,1,?,?,Hayden,n/a,RBSF,2,feedback_error_duration_s,13.3793
VASTcont,S02,T03,2026-02-24T14:14:23,1,?,?,Hayden,n/a,RBSF,0,trial_duration_s,119.97
