epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/nose,train/confmaps/tail,train/confmaps/neck,train/confmaps/hindL,train/confmaps/foreL,train/confmaps/foreR,train/confmaps/hindR,train/confmaps/spine
0,,0.01489765103906393,,,,,,,,,,,
0,,0.0005781258805654943,,,,,,,,,,,
1,0.002705617342144251,0.0005647909129038453,9.999999747378752e-05,861.1318359375,15.359352111816406,0.0008807428530417383,0.002162968972697854,0.004367053974419832,0.0016238322714343667,0.003346022218465805,0.002788808196783066,0.001331449020653963,0.005309755448251963
2,0.0005655197892338037,0.0005632638349197805,9.999999747378752e-05,833.2595825195312,12.461395263671875,0.0005270630936138332,0.0005810603615827858,0.0005696492153219879,0.0005736154853366315,0.0005684650968760252,0.0005630027735605836,0.0005587712512351573,0.0005811380106024444
3,0.0005609531071968377,0.0005634003900922835,9.999999747378752e-05,834.8045043945312,12.690234184265137,0.0005257803131826222,0.0005788071430288255,0.0005642281612381339,0.0005656596040353179,0.0005617436836473644,0.0005584984319284558,0.0005579926655627787,0.000574644363950938
4,0.0005599416908808053,0.0005616405978798866,9.999999747378752e-05,836.9605102539062,12.780360221862793,0.0005253879935480654,0.0005777140613645315,0.0005624166806228459,0.0005649850354529917,0.0005608630599454045,0.0005582350422628224,0.0005576564581133425,0.0005725390510633588
5,0.0005593760288320482,0.0005603421595878899,9.999999747378752e-05,833.2835083007812,12.661308288574219,0.0005254366551525891,0.000576999329496175,0.000561696826480329,0.0005643392796628177,0.0005604886682704091,0.0005580566357821226,0.0005571695510298014,0.0005713003920391202
6,0.0005584903992712498,0.0005595870316028595,9.999999747378752e-05,834.7542724609375,12.70410442352295,0.0005240010796114802,0.0005764178349636495,0.0005600905860774219,0.0005639255978167057,0.0005602933815680444,0.0005573032540269196,0.0005568749620579183,0.0005696111475117505
7,0.0005577149568125606,0.0005582120502367616,9.999999747378752e-05,838.9295043945312,12.650335311889648,0.0005231748800724745,0.0005759410560131073,0.0005591255030594766,0.0005632368265651166,0.0005594706162810326,0.000557389750611037,0.0005562800215557218,0.0005689795361831784
8,0.0005578004638664424,0.0005553972441703081,9.999999747378752e-05,835.8577270507812,12.829643249511719,0.0005226911162026227,0.0005757964681833982,0.000559006817638874,0.000562597531825304,0.0005593343521468341,0.0005568874767050147,0.0005557992844842374,0.000568398623727262
9,0.0005554137751460075,0.0005544984596781433,9.999999747378752e-05,833.0003662109375,12.744217872619629,0.0005204898188821971,0.0005745970411226153,0.0005544274463318288,0.0005607003113254905,0.0005574151291511953,0.0005563879385590553,0.0005551322246901691,0.0005642586038447917
10,0.000552767829503864,0.0005560131976380944,9.999999747378752e-05,840.0579833984375,12.634397506713867,0.0005184495239518583,0.000572623685002327,0.0005492637283168733,0.0005587911000475287,0.0005550874629989266,0.0005540610291063786,0.000553674646653235,0.0005597652634605765
11,0.0005545791937038302,0.0005472375196404755,9.999999747378752e-05,838.8493041992188,13.187915802001953,0.000518753076903522,0.0005723356152884662,0.0005545768071897328,0.000560825108550489,0.0005588678177446127,0.0005537045071832836,0.0005548199405893683,0.0005639107548631728
12,0.0005484935827553272,0.0005421399255283177,9.999999747378752e-05,857.1405639648438,12.922380447387695,0.0005166823393665254,0.0005678774905391037,0.0005436075734905899,0.0005564402090385556,0.0005523495492525399,0.0005495409714058042,0.0005503504653461277,0.0005515968659892678
13,0.0005454174824990332,0.0006008518976159394,9.999999747378752e-05,854.9542236328125,12.677409172058105,0.0005178297287784517,0.000564532820135355,0.0005397062050178647,0.0005540078855119646,0.0005488785682246089,0.0005449047312140465,0.0005470116157084703,0.0005461954278871417
14,0.0005428382428362966,0.0005477629601955414,9.999999747378752e-05,840.839111328125,12.706161499023438,0.0005174946854822338,0.0005616675480268896,0.000537179468665272,0.0005523680010810494,0.0005461640539579093,0.000540612090844661,0.0005445961141958833,0.0005415900959633291
