epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/nose,train/confmaps/tail,train/confmaps/neck,train/confmaps/hindL,train/confmaps/foreL,train/confmaps/foreR,train/confmaps/hindR,train/confmaps/spine
0,,0.00011129745689686388,,,,,,,,,,,
0,,0.00012517663708422333,,,,,,,,,,,
1,0.00012820084521081299,0.00012589995458256453,9.999999747378752e-05,226.08689880371094,1.5093343257904053,0.00012945117487106472,0.00010017972817877308,0.00010195111099164933,0.00014745326188858598,0.00015455446555279195,0.0001434532314306125,0.00015876248653512448,8.745232480578125e-05
2,0.00010415917495265603,0.00012328829325269908,9.999999747378752e-05,236.4183807373047,1.5038232803344727,9.593937284080312e-05,7.660434494027868e-05,8.201511082006618e-05,0.00011975997767876834,0.00013192722690291703,0.0001232798967976123,0.00013330198999028653,7.116533379303291e-05
3,9.977660374715924e-05,0.00012520280142780393,9.999999747378752e-05,227.23403930664062,1.5356595516204834,9.159227920463309e-05,7.320664735743776e-05,7.845206710044295e-05,0.00011536377132870257,0.00012789601169060916,0.00011894792987732217,0.0001282243028981611,6.887398194521666e-05
4,9.722901450004429e-05,0.00012830145715270191,9.999999747378752e-05,221.1917266845703,1.551213026046753,8.843747491482645e-05,7.044007361400872e-05,7.595602801302448e-05,0.00011123517469968647,0.00012491465895436704,0.00011485331924632192,0.00012355006765574217,6.89110966050066e-05
5,9.143512579612434e-05,0.0001321165036642924,9.999999747378752e-05,222.05992126464844,1.3593244552612305,8.197718125302345e-05,6.621498323511332e-05,7.17282819095999e-05,0.00010372287215432152,0.00011776240717153996,0.00010903023212449625,0.00011646078928606585,6.474302062997594e-05
6,8.732182323001325e-05,0.00015654916933272034,9.999999747378752e-05,217.2061767578125,1.3443899154663086,7.990522863110527e-05,6.272627069847658e-05,6.983403727645054e-05,9.79285323410295e-05,0.00011328024265822023,0.00010516504698898643,0.00010979002399835736,6.310611934168264e-05
7,8.609017822891474e-05,0.0001376837317366153,9.999999747378752e-05,215.95892333984375,1.3272910118103027,7.787584763718769e-05,6.151674460852519e-05,6.811675848439336e-05,9.619587945053354e-05,0.00011133473162772134,0.00010250027844449505,0.00010747862688731402,6.240633229026571e-05
