parent_directory,file_name,id,tx,sex,phase,trial,escape_arm,start_datetime
EHRAM Cohort 1 DARPA videos,Test 47.mp4,3209,GHSD,F,train_1,4,3,2025-11-18T17:12:17
EHRAM Cohort 1 DARPA videos,Test 48.mp4,3210,GHSD,F,train_1,4,7,2025-11-18T17:15:23
EHRAM Cohort 1 DARPA videos,Test 49.mp4,3211,GHSD,F,train_1,4,5,2025-11-18T17:22:42
EHRAM Cohort 1 DARPA videos,Test 50.mp4,3212,GHSD,F,train_1,4,3,2025-11-18T17:30:31
EHRAM Cohort 1 DARPA videos,Test 51.mp4,3213,GHSD,F,train_1,4,6,2025-11-18T17:33:29
EHRAM Cohort 1 DARPA videos,Test 52.mp4,3214,GHSD,F,train_1,4,0,2025-11-18T17:37:27
EHRAM Cohort 1 DARPA videos,Test 53.mp4,3201,RBSD,F,train_2,1,6,2025-11-19T12:48:12
EHRAM Cohort 1 DARPA videos,Test 54.mp4,3202,RBSD,F,train_2,1,0,2025-11-19T12:53:19
EHRAM Cohort 1 DARPA videos,Test 55.mp4,3203,RBSD,F,train_2,1,5,2025-11-19T12:58:15
EHRAM Cohort 1 DARPA videos,Test 56.mp4,3205,RBSD,F,train_2,1,0,2025-11-19T13:03:27
EHRAM Cohort 1 DARPA videos,Test 57.mp4,3206,RBSD,F,train_2,1,4,2025-11-19T13:10:04
EHRAM Cohort 1 DARPA videos,Test 58.mp4,3207,RBSD,F,train_2,1,7,2025-11-19T13:14:01
EHRAM Cohort 1 DARPA videos,Test 59.mp4,3201,RBSD,F,train_2,2,3,2025-11-19T13:21:43
EHRAM Cohort 1 DARPA videos,Test 60.mp4,3202,RBSD,F,train_2,2,2,2025-11-19T13:27:08
EHRAM Cohort 1 DARPA videos,Test 61.mp4,3203,RBSD,F,train_2,2,4,2025-11-19T13:33:06
EHRAM Cohort 1 DARPA videos,Test 62.mp4,3205,RBSD,F,train_2,2,0,2025-11-19T13:38:49
EHRAM Cohort 1 DARPA videos,Test 63.mp4,3206,RBSD,F,train_2,2,6,2025-11-19T13:44:01
